Year [note 3],Sex,ICD-10 code,Individual cause of death description,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,All ages
2021,Persons,E24.4,Alcohol-induced pseudo-Cushing's syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,F10,Mental and behavioural disorders due to the use of alcohol,0,0,0,0,0,2,6,18,35,62,88,102,96,74,77,63,47,30,10,4,714
2021,Persons,G31.2,Degeneration of nervous system due to alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,8
2021,Persons,G62.1,Alcoholic polyneuropathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,G72.1,Alcoholic myopathy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2021,Persons,I42.6,Alcoholic cardiomyopathy,0,0,0,0,0,0,1,3,4,8,20,22,21,22,9,8,4,5,1,0,128
2021,Persons,K29.2,Alcoholic gastritis,0,0,0,0,0,0,0,1,0,1,6,4,2,3,2,3,3,0,0,0,25
2021,Persons,K70,Alcoholic liver disease,0,0,0,0,0,5,33,99,268,459,740,1006,1079,839,705,453,249,88,31,6,6060
2021,Persons,K85.2,Alcohol-induced acute pancreatitis,0,0,0,0,0,0,1,3,9,8,17,19,16,13,11,5,8,5,1,0,116
2021,Persons,K86.0,Alcohol-induced chronic pancreatitis,0,0,0,0,0,0,0,0,2,1,2,4,9,6,4,2,0,1,0,0,31
2021,Persons,Q86.0,Fetal alcohol syndrome (dysmorphic),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Persons,R78.0,Excess alcohol blood levels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,X45,Accidental poisoning by and exposure to alcohol,0,0,0,0,2,6,9,35,52,62,61,83,55,44,22,20,8,2,1,1,463
2021,Persons,X65,Intentional self-poisoning by and exposure to alcohol,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,6
2021,Persons,Y15,"Poisoning by and exposure to alcohol, undetermined intent",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4
2021,Males,E24.4,Alcohol-induced pseudo-Cushing's syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Males,F10,Mental and behavioural disorders due to the use of alcohol,0,0,0,0,0,2,4,15,22,48,57,72,66,47,62,42,27,21,6,3,494
2021,Males,G31.2,Degeneration of nervous system due to alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,5
2021,Males,G62.1,Alcoholic polyneuropathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Males,G72.1,Alcoholic myopathy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2021,Males,I42.6,Alcoholic cardiomyopathy,0,0,0,0,0,0,1,3,4,6,19,21,17,18,9,4,2,4,1,0,109
2021,Males,K29.2,Alcoholic gastritis,0,0,0,0,0,0,0,0,0,0,6,2,1,1,2,3,2,0,0,0,17
2021,Males,K70,Alcoholic liver disease,0,0,0,0,0,4,19,63,161,305,448,646,678,545,459,286,166,67,19,4,3870
2021,Males,K85.2,Alcohol-induced acute pancreatitis,0,0,0,0,0,0,1,3,9,6,10,16,9,10,10,4,7,3,1,0,89
2021,Males,K86.0,Alcohol-induced chronic pancreatitis,0,0,0,0,0,0,0,0,2,1,1,2,8,5,4,2,0,1,0,0,26
2021,Males,Q86.0,Fetal alcohol syndrome (dysmorphic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Males,R78.0,Excess alcohol blood levels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
