Year [note 3],Sex,ICD-10 code,Individual cause of death description,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,All ages
2021,Persons,E24.4,Alcohol-induced pseudo-Cushing's syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,F10,Mental and behavioural disorders due to the use of alcohol,0,0,0,0,0,0,1,4,8,20,31,51,52,59,53,32,18,7,9,3,348
2021,Persons,G31.2,Degeneration of nervous system due to alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2021,Persons,G62.1,Alcoholic polyneuropathy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2021,Persons,G72.1,Alcoholic myopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,I42.6,Alcoholic cardiomyopathy,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,3,0,0,0,0,11
2021,Persons,K29.2,Alcoholic gastritis,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,6
2021,Persons,K70,Alcoholic liver disease,0,0,0,0,0,0,0,14,22,50,78,114,142,135,98,72,47,20,3,0,795
2021,Persons,K85.2,Alcohol-induced acute pancreatitis,0,0,0,0,0,0,0,1,1,0,2,8,4,1,2,0,1,0,0,0,20
2021,Persons,K86.0,Alcohol-induced chronic pancreatitis,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,6
2021,Persons,Q86.0,Fetal alcohol syndrome (dysmorphic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,R78.0,Excess alcohol blood levels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Persons,X45,Accidental poisoning by and exposure to alcohol,0,0,0,0,0,0,1,1,3,9,5,6,12,5,7,4,2,0,0,0,55
2021,Persons,X65,Intentional self-poisoning by and exposure to alcohol,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
