Zip Code,Population
90011,111165
91331,105458
90650,105304
90201,101965
90044,99443
92335,99306
92336,98346
94565,97671
90250,97072
90805,95995
92503,95551
90280,94642
91342,94595
91710,91773
92683,91105
92804,89915
92154,88979
92704,88321
95076,86905
93307,86832
92376,86085
91744,85421
92592,84930
94112,84707
93033,84701
93722,84621
93727,84449
91911,84026
92126,82658
92345,82110
91335,81824
92509,81383
91709,80701
94544,79747
95035,79655
95823,79440
95630,78159
93550,77506
90706,77195
91706,76930
93257,76519
92553,76102
94533,75909
90255,75019
91910,74855
94536,74837
94587,74722
92805,74478
93535,74264
93274,74000
90003,73730
92105,73623
92882,73250
91730,72407
94110,72380
91766,72348
93306,72280
91402,72059
93065,71832
90262,70536
93536,70237
92021,70148
92880,69656
92563,69469
92703,69112
90631,69064
95687,69060
90026,68906
92114,68851
95123,68766
92407,68545
94558,68315
94509,68166
90037,67640
93230,67605
94080,67600
94538,67474
90022,67014
95747,66931
91343,66743
92801,66594
92677,66314
95127,66256
95624,65948
94541,65928
95758,65811
92201,65726
94015,65041
95020,64833
91977,64750
90019,64534
93906,64348
92115,64343
94513,64313
94806,64286
92562,64286
95206,64250
92346,63857
94501,63821
90042,63193
92627,63161
90660,63001
92404,62915
91732,62905
91950,62859
90640,62730
91770,62703
95608,62539
95112,62228
92647,62199
94122,62128
91702,62066
95014,61866
95111,61830
91762,61718
93312,61628
91761,61425
92707,60831
92570,60686
90731,60659
90004,60541
93905,60531
92057,60414
92324,59972
92504,59896
95051,59851
90001,59832
92020,59743
95355,59621
90006,59576
92780,59499
92630,59403
93291,59270
90066,59167
92507,59152
95828,58717
93117,58546
93309,58538
93030,58422
92113,58408
92392,58393
90813,58380
92530,58184
92071,57710
92571,57622
94109,57302
93458,57256
92117,56983
92708,56953
90745,56930
90744,56880
92027,56788
91764,56677
94087,56668
93063,56458
93436,56323
92130,56134
95122,56121
92646,55870
95116,55825
95376,55655
94568,55608
92223,55580
95670,55558
91405,55506
93313,55221
91745,55202
94591,55157
92701,55058
94539,54982
93215,54958
91406,54890
91801,54768
92129,54762
92840,54735
90723,54513
91304,54361
92234,54357
92399,54268
92584,54235
95350,54210
91913,54114
93308,53981
90063,53980
90034,53861
91786,53697
91344,53613
92870,53600
90018,53490
95023,53423
92557,53406
90002,53302
92505,53282
95125,53155
91605,53113
94601,53039
92025,52985
95648,52949
90220,52817
92620,52569
92833,52435
92056,52337
93277,52271
95207,52269
92656,52268
95616,52212
95037,51994
90221,51688
93003,51629
90024,51627
92084,51619
95124,51455
90047,51411
92024,51381
92128,51357
90046,50900
92691,50839
92886,50784
95757,50727
92111,50693
91767,50606
92626,50605
93551,50601
90703,50589
92078,50510
94086,50477
92243,50402
92069,50376
94550,50374
92026,50321
90057,50152
92127,49935
93638,49932
92544,49923
92064,49805
94553,49784
91306,49678
90638,49227
90630,49205
94014,49170
90033,49155
93304,49115
93611,49053
92618,48997
95240,48799
95351,48542
90247,48293
95148,48273
94303,48244
92028,48173
93036,48162
92122,48071
90032,48031
92879,47872
95336,47855
95843,47823
95060,47801
94577,47682
95136,47476
94116,47346
92705,47298
94551,47227
94560,47171
92109,47111
93720,47081
91748,47079
91352,47076
90025,46883
92843,46873
92692,46800
90023,46680
92009,46612
91765,46593
90065,46461
90620,46414
95008,46352
92040,46306
95610,46305
95307,46283
92506,46241
92648,46228
90059,46185
93455,46175
93010,46063
92058,46029
91367,45970
90016,45899
94566,45893
90043,45873
93311,45481
92236,45477
91790,45444
92104,45435
91733,45365
95403,45096
92410,45052
95209,44980
91320,44968
92688,44832
90027,44770
95822,44741
92867,44655
94117,44650
93446,44636
90503,44605
92555,44452
91789,44440
94403,44408
94546,44378
96003,44328
94928,44323
91606,44295
92102,44010
92395,43908
94121,43616
93702,43601
94605,43399
94025,43392
92374,43391
94521,43281
92019,43272
90241,43215
91360,43121
94066,43101
95831,43094
95762,43052
94531,43022
90604,42911
95380,42866
93726,42824
94010,42760
90242,42694
94582,42576
94561,42473
90007,42433
94134,42418
92308,42207
90275,42146
94118,42095
95678,42053
91387,42034
93292,42031
95407,42026
92802,42016
90806,41990
90501,41975
92545,41879
94578,41865
92054,41807
95132,41790
95621,41740
94901,41713
92591,41609
95210,41509
90815,41312
95695,41278
93635,41180
92101,41159
93637,41108
91016,41105
94804,40931
92253,40929
95991,40861
95628,40855
91311,40839
93706,40586
90045,40567
95404,40497
93454,40432
90278,40252
90605,40192
95835,40170
91942,40151
92231,40064
95926,40000
90031,39916
95833,39905
93552,39905
91739,39875
91401,39755
95129,39741
90005,39732
92083,39509
93619,39473
91701,39461
92806,39442
93534,39367
90808,39330
92337,39240
94534,39239
90804,39239
95765,39214
90020,39189
95301,39186
95337,39177
92307,39149
95826,39145
95838,39053
94061,39023
94044,38984
94611,38975
90802,38962
91763,38863
95401,38839
92675,38803
94954,38763
94520,38753
95382,38700
95050,38699
95691,38690
91776,38664
93021,38581
93245,38480
94555,38478
92508,38428
95205,38350
92543,38314
90301,38234
94606,38220
92037,38168
95120,38122
93711,38007
90036,37965
93305,37902
91104,37874
91001,37818
95928,37735
92821,37712
91205,37638
95121,37531
92065,37505
95825,37473
92831,37359
94590,37280
95688,37260
94588,37253
90810,37251
90505,37220
95993,37077
94404,36985
95128,36975
92869,36846
91601,36841
93705,36808
91711,36777
95062,36737
95973,36682
90029,36668
91362,36604
95476,36586
90012,36552
94040,36526
95667,36487
95820,36437
90049,36418
91326,36339
95126,36206
91350,36173
91340,36156
92139,36105
93012,36052
94401,36001
92883,35933
90062,35916
93405,35898
94603,35862
95340,35827
95821,35812
92706,35748
94124,35747
91752,35694
92807,35687
93657,35666
90621,35598
94952,35503
90266,35500
95660,35461
92660,35446
95361,35308
92240,35278
92649,35278
94583,35231
91768,35191
93612,35140
91780,35133
94621,35035
94523,35005
93561,34979
94114,34918
92394,34915
94063,34867
90277,34827
90260,34827
91206,34739
92131,34727
92103,34700
92260,34660
91722,34631
94115,34604
91325,34575
93955,34566
96001,34293
92301,34250
92672,34218
96002,34196
91750,34129
91007,34116
91321,34014
92551,34011
91773,34007
95348,34002
93555,33833
93060,33773
92841,33754
92595,33649
91754,33636
92881,33531
92220,33525
95842,33522
91915,33485
93422,33466
95901,33455
92311,33454
93710,33448
90504,33410
92116,33408
91791,33397
92373,33353
92612,33234
90222,33200
91423,33172
94526,33135
95341,33090
90606,32987
91006,32958
91604,32910
93703,32754
94545,32724
91351,32711
92583,32697
90230,32687
92679,32657
95356,32622
92124,32600
91354,32544
95358,32524
91107,32503
92123,32473
95118,32421
93001,32396
92596,32256
93940,32236
90807,32202
95662,32172
90803,32126
95377,32091
90601,32053
94941,32009
94610,31936
91941,31918
95632,31911
90008,31754
91303,31586
94589,31536
93004,31525
95482,31482
93618,31470
94107,31461
94132,31436
94102,31392
93101,31371
95661,31315
95131,31236
92107,31223
90712,31217
94801,31210
95070,31196
94043,31161
92203,31140
94070,31074
94608,31013
92173,31000
91505,30902
91214,30787
92673,30768
93420,30740
95472,30736
93662,30725
94103,30703
91607,30611
92120,30550
90680,30531
91355,30526
91316,30499
94580,30488
94903,30427
93654,30373
95117,30369
95682,30314
95824,30296
91731,30222
94602,30162
92405,30112
92110,30108
95834,30076
90302,30017
92653,30012
95966,29860
91356,29822
94549,29795
90028,29774
93704,29740
91746,29709
91324,29670
91792,29619
94704,29597
92081,29596
92694,29570
91803,29567
94585,29525
94131,29523
90039,29510
95603,29474
95212,29426
93035,29354
95134,29349
96150,29327
95492,29271
95219,29270
91384,29212
96080,29139
90041,29090
92604,28990
93314,28963
93401,28854
94518,28734
92316,28704
95204,28667
92262,28618
90038,28580
95133,28565
93105,28545
95961,28489
94062,28423
94510,28350
95829,28264
90713,28202
93901,28194
90405,28156
93280,28138
95370,28096
90710,28045
91364,27971
95363,27908
90061,27873
94598,27831
90017,27723
91103,27659
94559,27593
95618,27519
94306,27435
90270,27287
90035,27272
91945,27236
93725,27214
92227,27189
92614,27187
95409,27186
94002,27155
92008,27151
90746,27075
92868,27072
91042,26966
93960,26966
90291,26950
92629,26877
92860,26849
94607,26823
91755,26803
94133,26796
91741,26794
91504,26749
91724,26717
91302,26712
91932,26492
90249,26429
90240,26413
95242,26409
91010,26380
91307,26341
91301,26334
92284,26182
92606,26171
94530,26145
91411,26111
91784,26090
95032,26047
95503,25972
90304,25946
90064,25925
92532,25923
94803,25893
94123,25890
91740,25877
94947,25867
92832,25837
94402,25703
95815,25673
92411,25650
91030,25637
94547,25616
90602,25581
91106,25543
95677,25477
93933,25442
95945,25381
94506,25240
95003,25185
91403,25156
91737,25154
95367,25072
90274,25061
92211,25056
