Zip Code,Total Population Age 16+,Ages 16-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-64,Ages 65-74,Ages 75+,Total Population,Make,Fully Vaccinated,Partially Vaccinated,1_plus_dose,booster_recip_count,%_Employed,above_average,over_75_population
90001,42853,3928,4839,4848,4818,8082,6848,2953,2405,2694,1438,59832,VOLVO,0.742086,0.229377,0.971463,8211.0,0.7162220885145073,1,0.02403396175959353
90002,38146,3843,4911,4274,3431,7497,6413,2259,2179,2021,1318,53302,VOLVO,0.642248,0.082327,0.724575,6941.0,0.715657949045064,0,0.024727027128437957
90003,52804,5135,5620,7236,5288,9767,8816,3536,2855,2782,1769,73730,VOLVO,0.639501,0.093085,0.732586,8645.0,0.7161806591618066,0,0.023992947239929473
90004,50096,2478,3993,6658,6487,9289,8219,3378,3050,4151,2393,60541,VOLVO,0.766256,0.077809,0.844065,17583.0,0.8274722915049305,1,0.039526932161675556
90005,33217,1528,2651,4695,3965,6750,4835,2105,1661,2707,2320,39732,VOLVO,0.719897,0.088731,0.808628,10083.0,0.8360263767240511,1,0.058391221181918855
90006,47927,3173,4016,6040,5856,8572,7742,3212,2787,3865,2664,59576,VOLVO,0.707794,0.095852,0.803646,11960.0,0.8044682422451994,1,0.04471599301732241
90007,37139,4776,12174,5002,2567,3167,3232,1626,1355,1971,1269,42433,VOLVO,0.80322,0.085717,0.888937,12274.0,0.8752386114580633,1,0.02990596941060024
90008,27379,1329,2190,2299,2234,4455,4557,2434,2357,3412,2112,31754,VOLVO,0.648003,0.060102,0.708105,7667.0,0.8622220822573534,0,0.06651130566227877
90010,3499,119,263,647,434,468,326,331,211,404,296,3822,VOLVO,1.0,0.157741,1.0,1781.0,0.9154892726321298,1,0.07744636316064887
90011,79986,7388,9565,9622,8427,15873,13603,4566,3939,4359,2644,111165,WORKHORSE,0.600724,0.123697,0.724421,11876.0,0.7195250303602753,0,0.02378446453470067
90012,33927,1121,3958,5979,4324,6018,4460,1377,1371,2321,2998,36552,WORKHORSE,0.837188,0.102888,0.940076,12351.0,0.9281845042678923,1,0.08202013569708907
90013,12169,30,678,1633,1493,2344,2372,1059,930,944,686,12559,VOLVO,0.750911,0.165897,0.916808,3734.0,0.9689465721793137,1,0.05462218329484832
90014,8561,19,494,1213,1287,1632,1164,455,801,839,657,8688,VOLKSWAGEN,0.759173,0.114608,0.873781,2550.0,0.9853821362799263,1,0.07562154696132596
90015,19127,1234,2231,3440,2318,3969,2534,978,691,1077,655,22651,WORKHORSE,0.812287,0.123433,0.93572,5948.0,0.8444218798287051,1,0.02891704560505055
90016,38092,2197,3153,4538,3623,6509,6460,2943,2526,3560,2583,45899,VOLVO,0.744293,0.071095,0.815388,11505.0,0.8299091483474585,1,0.05627573585481165
90017,22427,1133,2299,4007,3228,4336,2950,1032,1110,1310,1022,27723,VOLVO,0.716621,0.149439,0.86606,5435.0,0.8089672834830285,1,0.03686469718284457
90018,42672,2894,4421,4711,4403,7307,6777,3285,2738,3280,2856,53490,VOLVO,0.667873,0.084006,0.751879,10719.0,0.7977565900168255,0,0.053393157599551315
90019,54068,2002,4864,5643,5743,10370,9358,3920,3851,4574,3743,64534,VOLVO,0.73292,0.074461,0.807381,17664.0,0.8378219233272384,1,0.058000433879815294
90020,32637,1209,2740,5245,4356,6044,5264,2057,1940,2324,1458,39189,VOLVO,0.78435,0.082413,0.866763,10955.0,0.8328102273597183,1,0.03720431753808467
90021,2657,101,111,287,410,692,429,269,94,113,151,2945,VOLVO,0.998255,0.210471,1.0,847.0,0.902207130730051,1,0.05127334465195246
90022,51001,3981,5040,5520,5436,8877,8074,3794,3239,4086,2954,67014,VOLVO,0.723757,0.068752,0.792509,13116.0,0.7610499298654012,1,0.044080341421195574
90023,34828,2756,4238,3452,3162,6836,6014,1819,1779,2532,2240,46680,WORKHORSE,0.726039,0.084741,0.81078,8432.0,0.7461011139674378,1,0.04798628963153385
90024,48076,11385,14527,3936,2864,3207,2979,1603,1742,2552,3281,51627,VOLVO,0.529244,0.060381,0.589625,13121.0,0.9312181610397661,0,0.06355201735525984
90025,41838,894,3532,8120,6819,7510,5050,1878,2154,2982,2899,46883,VOLVO,0.753746,0.067738,0.821484,17636.0,0.8923916984834588,1,0.061834780197512956
90026,58633,2512,5010,8194,8995,10983,8691,3856,3336,3965,3091,68906,VOLVO,0.703728,0.06974,0.773468,20580.0,0.8509128377790033,1,0.04485821263750617
90027,39923,838,2273,5678,5942,7788,5794,2504,2605,3702,2799,44770,VOLVO,0.78788,0.070598,0.858478,16991.0,0.8917355371900827,1,0.06251954433772616
90028,28020,898,2781,4859,3960,4821,3964,1616,1379,1840,1902,29774,VOLVO,0.792398,0.114652,0.90705,8740.0,0.9410895412104521,1,0.06388123866460671
90029,31791,1261,2609,4565,4264,4717,5213,2212,2262,2672,2016,36668,VOLVO,0.707687,0.073306,0.780993,9471.0,0.8669957456092505,1,0.05497981891567579
90031,32395,2075,3198,3864,2992,5524,5375,1979,1950,2606,2832,39916,VOLVO,0.722592,0.066463,0.789055,10556.0,0.8115793165647861,1,0.07094899288505863
90032,38773,3024,4300,4135,4021,5994,5702,2584,2419,3614,2980,48031,VOLVO,0.691911,0.053531,0.745442,12006.0,0.8072494847077929,1,0.06204326372551061
90033,36770,3304,4242,3958,3129,5889,6485,2192,2211,2559,2801,49155,VOLVO,0.75114,0.078058,0.829198,10819.0,0.7480419082494151,1,0.0569830129183196
90034,47250,1348,3590,8833,7737,9707,6236,2596,2187,3068,1948,53861,VOLVO,0.830828,0.064829,0.895657,20619.0,0.8772581274020163,1,0.03616717105141011
90035,21997,917,1404,2500,2917,4014,3485,1224,1626,2000,1910,27272,VOLVO,0.82083,0.08473,0.90556,10161.0,0.8065781754180111,1,0.0700352009386917
90036,32305,942,2489,5212,4879,7027,4856,1559,1854,1877,1610,37965,VOLVO,0.786607,0.096447,0.883054,13918.0,0.8509153167391018,1,0.04240748057421309
90037,50660,3502,5784,6550,5130,8933,8809,3356,2994,3168,2434,67640,VOLVO,0.626681,0.108478,0.735159,8785.0,0.7489651094027203,0,0.035984624482554704
90038,24627,1070,2769,3848,3466,4513,3667,1576,1268,1455,995,28580,VOLVO,0.71283,0.073682,0.786512,6984.0,0.8616864940517844,1,0.034814555633310006
90039,25376,932,1395,2579,3295,5195,4217,1887,1734,2208,1934,29510,VOLVO,0.794614,0.062156,0.85677,12178.0,0.8599118942731278,1,0.06553710606574042
90040,9810,735,906,1250,683,1529,1650,659,728,978,692,12328,VOLVO,0.85734,0.120693,0.978033,2981.0,0.79574951330305,1,0.056132381570408826
90041,24509,1812,2239,1829,2253,4061,3487,2115,1940,2844,1929,29090,VOLVO,0.745056,0.053584,0.79864,11060.0,0.8425232038501204,1,0.06631144723272603
90042,52505,2805,3712,6309,7065,9686,8518,3717,3455,4099,3139,63193,VOLVO,0.717171,0.054539,0.77171,19288.0,0.8308673429019037,1,0.04967322330004906
90043,37968,2062,3410,3251,3220,5550,6283,3618,3178,3936,3460,45873,VOLVO,0.672348,0.062874,0.735222,10634.0,0.8276764109606959,1,0.07542563163516666
90044,73215,5774,7713,7402,7450,13636,12461,5747,4243,5058,3731,99443,WORKHORSE,0.593591,0.07619,0.669781,12315.0,0.7362509176110938,0,0.03751898072262502
90045,34995,3527,4235,3143,3740,5309,5144,2259,2229,3140,2269,40567,VOLVO,1.0,0.10557,1.0,14651.0,0.8626469790716592,1,0.055932161609189734
90046,47364,535,2765,7771,7137,9362,7408,3064,2177,3718,3427,50900,VOLVO,0.727251,0.071648,0.798899,18753.0,0.9305304518664047,1,0.06732809430255403
90047,41436,2388,3844,3457,3670,6179,7334,3416,3119,4362,3667,51411,VOLVO,0.651986,0.062883,0.714869,9662.0,0.8059753749197642,0,0.07132714788663905
90048,19596,241,962,3322,2998,3861,2610,1172,899,1742,1789,21489,VOLVO,0.839497,0.108366,0.947863,9122.0,0.9119084182605054,1,0.08325189631904695
90049,30689,1523,1719,3195,2848,5296,4948,1993,1795,4182,3190,36418,VOLVO,0.816666,0.07788,0.894546,16097.0,0.8426876819155362,1,0.08759404689988468
90056,6528,362,342,480,415,663,1103,586,663,808,1106,7649,VOLVO,0.857569,0.058951,0.91652,3209.0,0.8534448947574846,1,0.1445940645836057
90057,40101,2111,3952,5096,5405,7862,5622,2615,2309,2945,2184,50152,VOLVO,0.596781,0.085468,0.682249,7985.0,0.7995892486840006,0,0.04354761524964109
90058,1696,239,140,105,255,307,367,155,33,64,31,2718,VOLVO,1.0,0.38063,1.0,581.0,0.6239882266372333,1,0.011405445180279618
90059,31974,3246,3671,3503,3524,5316,5411,2195,2005,1937,1166,46185,WORKHORSE,0.585715,0.075227,0.660942,5400.0,0.6923026956804157,0,0.025246292086175164
90061,21134,1578,2181,2735,2204,3268,3674,1582,1235,1648,1029,27873,VOLVO,0.650008,0.080487,0.730495,3871.0,0.7582248053672013,0,0.03691744699171241
90062,28589,1905,2875,3142,2967,4758,4492,2510,2137,2306,1497,35916,VOLVO,0.629303,0.072928,0.702231,6018.0,0.7959962133867914,0,0.0416805880387571
90063,41016,3062,4549,4625,4318,7227,6465,2796,2207,3463,2304,53980,VOLVO,0.714582,0.066572,0.781154,10786.0,0.7598369766580215,1,0.04268247499073731
90064,21389,752,1531,2072,2191,3757,3553,1804,1360,2573,1796,25925,VOLVO,0.927735,0.070545,0.99828,12643.0,0.8250337512054002,1,0.06927675988428159
90065,38073,1735,3194,3895,4017,7507,6093,2797,2398,3918,2519,46461,VOLVO,0.768443,0.05809,0.826533,15468.0,0.8194614838251437,1,0.054217515765911196
90066,50553,1650,3318,6121,6660,9276,8342,3339,3149,4814,3884,59167,VOLVO,0.758264,0.057184,0.815448,21359.0,0.8544120878192235,1,0.0656447005932361
90067,2243,6,52,148,101,164,228,152,140,435,817,2428,VOLVO,1.0,0.17268,1.0,1542.0,0.9238056013179572,1,0.3364909390444811
90068,18913,212,968,2207,2004,3980,3814,1680,1191,1944,913,21092,VOLVO,0.83019,0.086109,0.916299,9211.0,0.8966906884126683,1,0.04328655414375118
90069,19254,203,856,2577,2534,3567,3225,1589,1343,1950,1410,20230,VOLVO,0.854033,0.103632,0.957665,9729.0,0.9517548195748888,1,0.06969846762234305
90071,126,0,0,42,11,29,34,3,0,0,7,126,TESLA,1.0,1.0,1.0,158.0,1.0,1,0.05555555555555555
90073,953,8,8,109,40,145,133,165,135,156,54,953,OTHER/UNK,0.038825,0.013641,0.052466,,1.0,0,0.05666316894018888
90077,6681,335,327,192,267,1001,1321,514,515,1323,886,8382,VOLVO,0.91311,0.08407,0.99718,4022.0,0.7970651395848246,1,0.10570269625387736
90089,3786,3131,620,29,1,0,0,5,0,0,0,3786,OTHER/UNK,1.0,0.068674,1.0,3362.0,1.0,1,0.0
90094,7662,171,312,612,1191,2619,1185,531,232,385,424,9827,VOLVO,0.832025,0.071307,0.903332,3878.0,0.7796886130049863,1,0.043146433296021164
90201,75479,6974,8509,9301,6985,13841,12510,5321,3636,4907,3495,101965,WORKHORSE,0.671009,0.06495,0.735959,16103.0,0.7402442014416711,1,0.03427646741528956
90210,15940,775,677,666,765,2202,2903,1377,1253,2516,2806,19314,VOLVO,0.901962,0.120658,1.0,8356.0,0.825308066687377,1,0.1452832142487315
90211,6866,397,361,867,680,855,1231,667,457,684,667,8019,VOLVO,0.871594,0.091517,0.963111,3167.0,0.8562164858461154,1,0.08317745354782392
90212,10854,445,761,597,1368,1549,2036,843,865,1202,1188,13314,VOLVO,0.742299,0.086059,0.828358,4778.0,0.815232086525462,1,0.08922938260477693
90220,39218,3513,3893,3919,3708,6261,6894,3018,2658,3039,2315,52817,VOLVO,0.609103,0.063289,0.672392,7401.0,0.7425260806179829,0,0.04383058484957495
90221,38836,3575,4641,3937,3339,7296,6566,2801,2071,2787,1823,51688,VOLVO,0.659838,0.077474,0.737312,7423.0,0.7513542795232936,0,0.0352693081566321
90222,23764,1817,2878,2812,3168,3607,3985,1346,1333,1646,1172,33200,VOLVO,0.613724,0.075448,0.689172,4353.0,0.7157831325301205,0,0.03530120481927711
90230,26640,1134,1635,2692,2488,4709,4408,2194,2050,2839,2491,32687,VOLVO,0.815044,0.058354,0.873398,12465.0,0.8150029063542081,1,0.07620766665646893
90232,12672,383,848,1436,1305,2588,2254,784,930,987,1157,14780,VOLVO,0.950309,0.068852,1.0,7242.0,0.8573748308525034,1,0.07828146143437077
90240,20522,1222,1332,2127,1584,4144,3365,1550,1741,2285,1172,26413,WORKHORSE,0.758484,0.055341,0.813825,7260.0,0.7769658880096922,1,0.0443720895013819
90241,34639,2537,3286,3520,3058,5507,6632,2416,2184,3227,2272,43215,VOLVO,0.749698,0.058908,0.808606,10705.0,0.8015503875968992,1,0.05257433761425431
90242,33743,2481,3345,4148,3114,5975,5446,2425,2294,2869,1646,42694,WORKHORSE,0.722374,0.053164,0.775538,9788.0,0.7903452475757717,1,0.03855342671101326
90245,13050,688,606,1438,1232,2521,2455,1248,1105,1142,615,16731,VOLVO,0.928733,0.119832,1.0,6599.0,0.7799892415277031,1,0.036758113681190606
90247,39093,2236,2925,4048,3445,6870,6436,3241,3087,3488,3317,48293,VOLVO,0.735969,0.061207,0.797176,11809.0,0.8094962002774729,1,0.06868490257387198
90248,9679,422,737,962,552,1401,1727,804,892,911,1271,11607,VOLVO,0.72108,0.053292,0.774372,3438.0,0.8338933402257258,1,0.10950288618936849
90249,21780,1322,1291,2279,1327,3697,3504,2013,1819,2725,1803,26429,VOLVO,0.770506,0.061042,0.831548,7147.0,0.8240947444095501,1,0.06822051534299443
90250,74752,4566,7152,8836,8167,13829,13360,5229,4789,5503,3321,97072,VOLVO,0.693335,0.062549,0.755884,20326.0,0.7700675787044667,1,0.03421171913631119
90254,16331,381,567,2159,1933,3339,3269,1312,957,1532,882,19539,VOLVO,0.834935,0.07013,0.905065,8105.0,0.8358155483903987,1,0.04514048825426071
